,Marital status,Sex,Age,Number of people,Year,Quarter
2658,Widowed,Women,60-69 years,2307,2014,4
2659,Widowed,Women,70-79 years,3662,2014,4
2660,Widowed,Women,80-89 years,3952,2014,4
2661,Widowed,Women,90-99 years,1863,2014,4
2662,Widowed,Women,100-109 years,62,2014,4
2663,Widowed,Women,110 years +,0,2014,4
2664,Divorced,Men,0-9 years,0,2014,4
2665,Divorced,Men,10-19 years,1,2014,4
2666,Divorced,Men,20-29 years,226,2014,4
2667,Divorced,Men,30-39 years,2388,2014,4
2668,Divorced,Men,40-49 years,5708,2014,4
2669,Divorced,Men,50-59 years,5723,2014,4
2670,Divorced,Men,60-69 years,4849,2014,4
2671,Divorced,Men,70-79 years,2605,2014,4
2672,Divorced,Men,80-89 years,553,2014,4
2673,Divorced,Men,90-99 years,53,2014,4
2674,Divorced,Men,100-109 years,0,2014,4
2675,Divorced,Men,110 years +,0,2014,4
2676,Divorced,Women,0-9 years,0,2014,4
2677,Divorced,Women,10-19 years,1,2014,4
2678,Divorced,Women,20-29 years,550,2014,4
2679,Divorced,Women,30-39 years,3511,2014,4
2680,Divorced,Women,40-49 years,6754,2014,4
2681,Divorced,Women,50-59 years,6704,2014,4
2682,Divorced,Women,60-69 years,6670,2014,4
2683,Divorced,Women,70-79 years,4142,2014,4
2684,Divorced,Women,80-89 years,1445,2014,4
2685,Divorced,Women,90-99 years,372,2014,4
2686,Divorced,Women,100-109 years,5,2014,4
2687,Divorced,Women,110 years +,0,2014,4
2688,Never married,Men,0-9 years,34062,2015,1
2689,Never married,Men,10-19 years,22988,2015,1
2690,Never married,Men,20-29 years,62603,2015,1
2691,Never married,Men,30-39 years,37428,2015,1
2692,Never married,Men,40-49 years,17361,2015,1
2693,Never married,Men,50-59 years,9631,2015,1
2694,Never married,Men,60-69 years,4765,2015,1
2695,Never married,Men,70-79 years,1487,2015,1
2696,Never married,Men,80-89 years,315,2015,1
2697,Never married,Men,90-99 years,36,2015,1
2698,Never married,Men,100-109 years,0,2015,1
2699,Never married,Men,110 years +,0,2015,1
2700,Never married,Women,0-9 years,32409,2015,1
2701,Never married,Women,10-19 years,22869,2015,1
2702,Never married,Women,20-29 years,68856,2015,1
2703,Never married,Women,30-39 years,30663,2015,1
2704,Never married,Women,40-49 years,12987,2015,1
2705,Never married,Women,50-59 years,7162,2015,1
2706,Never married,Women,60-69 years,3860,2015,1
2707,Never married,Women,70-79 years,1344,2015,1
2708,Never married,Women,80-89 years,588,2015,1
2709,Never married,Women,90-99 years,218,2015,1
2710,Never married,Women,100-109 years,10,2015,1
2711,Never married,Women,110 years +,0,2015,1
2712,Married/separated,Men,0-9 years,0,2015,1
2713,Married/separated,Men,10-19 years,2,2015,1
2714,Married/separated,Men,20-29 years,3233,2015,1
2715,Married/separated,Men,30-39 years,17510,2015,1
2716,Married/separated,Men,40-49 years,17473,2015,1
2717,Married/separated,Men,50-59 years,13357,2015,1
2718,Married/separated,Men,60-69 years,11259,2015,1
2719,Married/separated,Men,70-79 years,6004,2015,1
2720,Married/separated,Men,80-89 years,1614,2015,1
2721,Married/separated,Men,90-99 years,202,2015,1
2722,Married/separated,Men,100-109 years,0,2015,1
2723,Married/separated,Men,110 years +,0,2015,1
2724,Married/separated,Women,0-9 years,0,2015,1
2725,Married/separated,Women,10-19 years,23,2015,1
2726,Married/separated,Women,20-29 years,5848,2015,1
2727,Married/separated,Women,30-39 years,19284,2015,1
2728,Married/separated,Women,40-49 years,16103,2015,1
2729,Married/separated,Women,50-59 years,12207,2015,1
2730,Married/separated,Women,60-69 years,9864,2015,1
2731,Married/separated,Women,70-79 years,4465,2015,1
2732,Married/separated,Women,80-89 years,1053,2015,1
2733,Married/separated,Women,90-99 years,112,2015,1
2734,Married/separated,Women,100-109 years,0,2015,1
2735,Married/separated,Women,110 years +,0,2015,1
2736,Widowed,Men,0-9 years,0,2015,1
2737,Widowed,Men,10-19 years,0,2015,1
2738,Widowed,Men,20-29 years,2,2015,1
2739,Widowed,Men,30-39 years,34,2015,1
2740,Widowed,Men,40-49 years,118,2015,1
2741,Widowed,Men,50-59 years,303,2015,1
2742,Widowed,Men,60-69 years,707,2015,1
2743,Widowed,Men,70-79 years,1016,2015,1
2744,Widowed,Men,80-89 years,909,2015,1
2745,Widowed,Men,90-99 years,326,2015,1
2746,Widowed,Men,100-109 years,13,2015,1
2747,Widowed,Men,110 years +,0,2015,1
2748,Widowed,Women,0-9 years,0,2015,1
2749,Widowed,Women,10-19 years,0,2015,1
2750,Widowed,Women,20-29 years,8,2015,1
2751,Widowed,Women,30-39 years,94,2015,1
2752,Widowed,Women,40-49 years,302,2015,1
2753,Widowed,Women,50-59 years,904,2015,1
2754,Widowed,Women,60-69 years,2297,2015,1
2755,Widowed,Women,70-79 years,3654,2015,1
2756,Widowed,Women,80-89 years,3916,2015,1
2757,Widowed,Women,90-99 years,1827,2015,1
2758,Widowed,Women,100-109 years,62,2015,1
2759,Widowed,Women,110 years +,0,2015,1
2760,Divorced,Men,0-9 years,0,2015,1
2761,Divorced,Men,10-19 years,0,2015,1
2762,Divorced,Men,20-29 years,230,2015,1
2763,Divorced,Men,30-39 years,2370,2015,1
2764,Divorced,Men,40-49 years,5716,2015,1
2765,Divorced,Men,50-59 years,5785,2015,1
2766,Divorced,Men,60-69 years,4820,2015,1
2767,Divorced,Men,70-79 years,2630,2015,1
2768,Divorced,Men,80-89 years,555,2015,1
2769,Divorced,Men,90-99 years,51,2015,1
2770,Divorced,Men,100-109 years,1,2015,1
2771,Divorced,Men,110 years +,0,2015,1
2772,Divorced,Women,0-9 years,0,2015,1
2773,Divorced,Women,10-19 years,0,2015,1
2774,Divorced,Women,20-29 years,511,2015,1
2775,Divorced,Women,30-39 years,3534,2015,1
2776,Divorced,Women,40-49 years,6792,2015,1
2777,Divorced,Women,50-59 years,6759,2015,1
2778,Divorced,Women,60-69 years,6646,2015,1
2779,Divorced,Women,70-79 years,4217,2015,1
2780,Divorced,Women,80-89 years,1453,2015,1
2781,Divorced,Women,90-99 years,360,2015,1
2782,Divorced,Women,100-109 years,7,2015,1
2783,Divorced,Women,110 years +,0,2015,1
2784,Never married,Men,0-9 years,34190,2015,2
2785,Never married,Men,10-19 years,23083,2015,2
2786,Never married,Men,20-29 years,63235,2015,2
2787,Never married,Men,30-39 years,37711,2015,2
2788,Never married,Men,40-49 years,17488,2015,2
2789,Never married,Men,50-59 years,9711,2015,2
2790,Never married,Men,60-69 years,4831,2015,2
2791,Never married,Men,70-79 years,1515,2015,2
2792,Never married,Men,80-89 years,313,2015,2
2793,Never married,Men,90-99 years,37,2015,2
2794,Never married,Men,100-109 years,0,2015,2
2795,Never married,Men,110 years +,0,2015,2
2796,Never married,Women,0-9 years,32543,2015,2
2797,Never married,Women,10-19 years,22912,2015,2
2798,Never married,Women,20-29 years,70014,2015,2
2799,Never married,Women,30-39 years,31042,2015,2
2800,Never married,Women,40-49 years,13093,2015,2
2801,Never married,Women,50-59 years,7243,2015,2
2802,Never married,Women,60-69 years,3906,2015,2
2803,Never married,Women,70-79 years,1385,2015,2
2804,Never married,Women,80-89 years,570,2015,2
2805,Never married,Women,90-99 years,216,2015,2
2806,Never married,Women,100-109 years,9,2015,2
2807,Never married,Women,110 years +,0,2015,2
2808,Married/separated,Men,0-9 years,0,2015,2
2809,Married/separated,Men,10-19 years,1,2015,2
2810,Married/separated,Men,20-29 years,3168,2015,2
2811,Married/separated,Men,30-39 years,17269,2015,2
2812,Married/separated,Men,40-49 years,17527,2015,2
2813,Married/separated,Men,50-59 years,13433,2015,2
2814,Married/separated,Men,60-69 years,11240,2015,2
2815,Married/separated,Men,70-79 years,6151,2015,2
2816,Married/separated,Men,80-89 years,1596,2015,2
2817,Married/separated,Men,90-99 years,195,2015,2
2818,Married/separated,Men,100-109 years,0,2015,2
2819,Married/separated,Men,110 years +,0,2015,2
2820,Married/separated,Women,0-9 years,0,2015,2
2821,Married/separated,Women,10-19 years,19,2015,2
2822,Married/separated,Women,20-29 years,5742,2015,2
2823,Married/separated,Women,30-39 years,19027,2015,2
2824,Married/separated,Women,40-49 years,16212,2015,2
2825,Married/separated,Women,50-59 years,12252,2015,2
2826,Married/separated,Women,60-69 years,9931,2015,2
2827,Married/separated,Women,70-79 years,4555,2015,2
2828,Married/separated,Women,80-89 years,1037,2015,2
2829,Married/separated,Women,90-99 years,110,2015,2
2830,Married/separated,Women,100-109 years,0,2015,2
2831,Married/separated,Women,110 years +,0,2015,2
2832,Widowed,Men,0-9 years,0,2015,2
2833,Widowed,Men,10-19 years,0,2015,2
2834,Widowed,Men,20-29 years,2,2015,2
2835,Widowed,Men,30-39 years,30,2015,2
2836,Widowed,Men,40-49 years,117,2015,2
2837,Widowed,Men,50-59 years,299,2015,2
2838,Widowed,Men,60-69 years,690,2015,2
2839,Widowed,Men,70-79 years,1025,2015,2
2840,Widowed,Men,80-89 years,889,2015,2
2841,Widowed,Men,90-99 years,313,2015,2
2842,Widowed,Men,100-109 years,12,2015,2
2843,Widowed,Men,110 years +,0,2015,2
2844,Widowed,Women,0-9 years,0,2015,2
2845,Widowed,Women,10-19 years,0,2015,2
2846,Widowed,Women,20-29 years,8,2015,2
2847,Widowed,Women,30-39 years,94,2015,2
2848,Widowed,Women,40-49 years,297,2015,2
2849,Widowed,Women,50-59 years,892,2015,2
2850,Widowed,Women,60-69 years,2261,2015,2
2851,Widowed,Women,70-79 years,3668,2015,2
2852,Widowed,Women,80-89 years,3868,2015,2
2853,Widowed,Women,90-99 years,1777,2015,2
2854,Widowed,Women,100-109 years,57,2015,2
2855,Widowed,Women,110 years +,0,2015,2
2856,Divorced,Men,0-9 years,0,2015,2
2857,Divorced,Men,10-19 years,1,2015,2
2858,Divorced,Men,20-29 years,219,2015,2
2859,Divorced,Men,30-39 years,2317,2015,2
2860,Divorced,Men,40-49 years,5737,2015,2
2861,Divorced,Men,50-59 years,5861,2015,2
2862,Divorced,Men,60-69 years,4775,2015,2
2863,Divorced,Men,70-79 years,2677,2015,2
2864,Divorced,Men,80-89 years,575,2015,2
2865,Divorced,Men,90-99 years,50,2015,2
2866,Divorced,Men,100-109 years,1,2015,2
2867,Divorced,Men,110 years +,0,2015,2
2868,Divorced,Women,0-9 years,0,2015,2
2869,Divorced,Women,10-19 years,0,2015,2
2870,Divorced,Women,20-29 years,517,2015,2
2871,Divorced,Women,30-39 years,3492,2015,2
2872,Divorced,Women,40-49 years,6793,2015,2
2873,Divorced,Women,50-59 years,6815,2015,2
2874,Divorced,Women,60-69 years,6600,2015,2
2875,Divorced,Women,70-79 years,4295,2015,2
2876,Divorced,Women,80-89 years,1454,2015,2
2877,Divorced,Women,90-99 years,351,2015,2
2878,Divorced,Women,100-109 years,8,2015,2
2879,Divorced,Women,110 years +,0,2015,2
2880,Never married,Men,0-9 years,34279,2015,3
2881,Never married,Men,10-19 years,23102,2015,3
2882,Never married,Men,20-29 years,62518,2015,3
2883,Never married,Men,30-39 years,37844,2015,3
2884,Never married,Men,40-49 years,17625,2015,3
2885,Never married,Men,50-59 years,9777,2015,3
2886,Never married,Men,60-69 years,4912,2015,3
2887,Never married,Men,70-79 years,1542,2015,3
2888,Never married,Men,80-89 years,308,2015,3
2889,Never married,Men,90-99 years,37,2015,3
2890,Never married,Men,100-109 years,0,2015,3
2891,Never married,Men,110 years +,0,2015,3
2892,Never married,Women,0-9 years,32562,2015,3
2893,Never married,Women,10-19 years,22919,2015,3
2894,Never married,Women,20-29 years,69194,2015,3
2895,Never married,Women,30-39 years,31319,2015,3
2896,Never married,Women,40-49 years,13219,2015,3
2897,Never married,Women,50-59 years,7312,2015,3
2898,Never married,Women,60-69 years,3961,2015,3
2899,Never married,Women,70-79 years,1422,2015,3
2900,Never married,Women,80-89 years,580,2015,3
2901,Never married,Women,90-99 years,215,2015,3
2902,Never married,Women,100-109 years,8,2015,3
2903,Never married,Women,110 years +,0,2015,3
2904,Married/separated,Men,0-9 years,0,2015,3
2905,Married/separated,Men,10-19 years,2,2015,3
2906,Married/separated,Men,20-29 years,3187,2015,3
2907,Married/separated,Men,30-39 years,17178,2015,3
2908,Married/separated,Men,40-49 years,17634,2015,3
2909,Married/separated,Men,50-59 years,13519,2015,3
2910,Married/separated,Men,60-69 years,11244,2015,3
2911,Married/separated,Men,70-79 years,6283,2015,3
2912,Married/separated,Men,80-89 years,1597,2015,3
2913,Married/separated,Men,90-99 years,188,2015,3
2914,Married/separated,Men,100-109 years,0,2015,3
2915,Married/separated,Men,110 years +,0,2015,3
2916,Married/separated,Women,0-9 years,0,2015,3
2917,Married/separated,Women,10-19 years,18,2015,3
2918,Married/separated,Women,20-29 years,5695,2015,3
2919,Married/separated,Women,30-39 years,19014,2015,3
2920,Married/separated,Women,40-49 years,16243,2015,3
2921,Married/separated,Women,50-59 years,12383,2015,3
2922,Married/separated,Women,60-69 years,9922,2015,3
2923,Married/separated,Women,70-79 years,4629,2015,3
2924,Married/separated,Women,80-89 years,1049,2015,3
2925,Married/separated,Women,90-99 years,108,2015,3
2926,Married/separated,Women,100-109 years,0,2015,3
2927,Married/separated,Women,110 years +,0,2015,3
2928,Widowed,Men,0-9 years,0,2015,3
2929,Widowed,Men,10-19 years,0,2015,3
2930,Widowed,Men,20-29 years,0,2015,3
2931,Widowed,Men,30-39 years,28,2015,3
2932,Widowed,Men,40-49 years,113,2015,3
2933,Widowed,Men,50-59 years,294,2015,3
2934,Widowed,Men,60-69 years,676,2015,3
2935,Widowed,Men,70-79 years,1046,2015,3
2936,Widowed,Men,80-89 years,884,2015,3
2937,Widowed,Men,90-99 years,307,2015,3
2938,Widowed,Men,100-109 years,11,2015,3
2939,Widowed,Men,110 years +,0,2015,3
2940,Widowed,Women,0-9 years,0,2015,3
2941,Widowed,Women,10-19 years,0,2015,3
2942,Widowed,Women,20-29 years,9,2015,3
2943,Widowed,Women,30-39 years,89,2015,3
2944,Widowed,Women,40-49 years,294,2015,3
2945,Widowed,Women,50-59 years,879,2015,3
2946,Widowed,Women,60-69 years,2246,2015,3
2947,Widowed,Women,70-79 years,3658,2015,3
2948,Widowed,Women,80-89 years,3832,2015,3
2949,Widowed,Women,90-99 years,1760,2015,3
2950,Widowed,Women,100-109 years,56,2015,3
2951,Widowed,Women,110 years +,0,2015,3
2952,Divorced,Men,0-9 years,0,2015,3
2953,Divorced,Men,10-19 years,1,2015,3
2954,Divorced,Men,20-29 years,230,2015,3
2955,Divorced,Men,30-39 years,2332,2015,3
2956,Divorced,Men,40-49 years,5699,2015,3
2957,Divorced,Men,50-59 years,5924,2015,3
2958,Divorced,Men,60-69 years,4749,2015,3
2959,Divorced,Men,70-79 years,2746,2015,3
2960,Divorced,Men,80-89 years,576,2015,3
2961,Divorced,Men,90-99 years,55,2015,3
2962,Divorced,Men,100-109 years,1,2015,3
2963,Divorced,Men,110 years +,0,2015,3
2964,Divorced,Women,0-9 years,0,2015,3
2965,Divorced,Women,10-19 years,0,2015,3
2966,Divorced,Women,20-29 years,525,2015,3
2967,Divorced,Women,30-39 years,3457,2015,3
2968,Divorced,Women,40-49 years,6868,2015,3
2969,Divorced,Women,50-59 years,6885,2015,3
2970,Divorced,Women,60-69 years,6570,2015,3
2971,Divorced,Women,70-79 years,4360,2015,3
2972,Divorced,Women,80-89 years,1462,2015,3
2973,Divorced,Women,90-99 years,347,2015,3
2974,Divorced,Women,100-109 years,8,2015,3
2975,Divorced,Women,110 years +,0,2015,3
2976,Never married,Men,0-9 years,34417,2015,4
2977,Never married,Men,10-19 years,23363,2015,4
2978,Never married,Men,20-29 years,64139,2015,4
2979,Never married,Men,30-39 years,37652,2015,4
2980,Never married,Men,40-49 years,17745,2015,4
2981,Never married,Men,50-59 years,9887,2015,4
2982,Never married,Men,60-69 years,4948,2015,4
2983,Never married,Men,70-79 years,1584,2015,4
2984,Never married,Men,80-89 years,310,2015,4
2985,Never married,Men,90-99 years,40,2015,4
2986,Never married,Men,100-109 years,0,2015,4
2987,Never married,Men,110 years +,0,2015,4
2988,Never married,Women,0-9 years,32541,2015,4
2989,Never married,Women,10-19 years,23420,2015,4
2990,Never married,Women,20-29 years,71373,2015,4
2991,Never married,Women,30-39 years,31209,2015,4
2992,Never married,Women,40-49 years,13287,2015,4
2993,Never married,Women,50-59 years,7395,2015,4
2994,Never married,Women,60-69 years,3994,2015,4
2995,Never married,Women,70-79 years,1455,2015,4
2996,Never married,Women,80-89 years,570,2015,4
2997,Never married,Women,90-99 years,208,2015,4
2998,Never married,Women,100-109 years,8,2015,4
2999,Never married,Women,110 years +,0,2015,4
3000,Married/separated,Men,0-9 years,0,2015,4
3001,Married/separated,Men,10-19 years,4,2015,4
3002,Married/separated,Men,20-29 years,3311,2015,4
3003,Married/separated,Men,30-39 years,17282,2015,4
3004,Married/separated,Men,40-49 years,17778,2015,4
3005,Married/separated,Men,50-59 years,13627,2015,4
3006,Married/separated,Men,60-69 years,11263,2015,4
3007,Married/separated,Men,70-79 years,6383,2015,4
3008,Married/separated,Men,80-89 years,1636,2015,4
3009,Married/separated,Men,90-99 years,186,2015,4
3010,Married/separated,Men,100-109 years,0,2015,4
3011,Married/separated,Men,110 years +,0,2015,4
3012,Married/separated,Women,0-9 years,0,2015,4
3013,Married/separated,Women,10-19 years,17,2015,4
3014,Married/separated,Women,20-29 years,5901,2015,4
3015,Married/separated,Women,30-39 years,19141,2015,4
3016,Married/separated,Women,40-49 years,16305,2015,4
3017,Married/separated,Women,50-59 years,12489,2015,4
3018,Married/separated,Women,60-69 years,9936,2015,4
3019,Married/separated,Women,70-79 years,4714,2015,4
3020,Married/separated,Women,80-89 years,1055,2015,4
3021,Married/separated,Women,90-99 years,113,2015,4
3022,Married/separated,Women,100-109 years,0,2015,4
3023,Married/separated,Women,110 years +,0,2015,4
3024,Widowed,Men,0-9 years,0,2015,4
3025,Widowed,Men,10-19 years,0,2015,4
3026,Widowed,Men,20-29 years,0,2015,4
3027,Widowed,Men,30-39 years,31,2015,4
3028,Widowed,Men,40-49 years,116,2015,4
3029,Widowed,Men,50-59 years,292,2015,4
3030,Widowed,Men,60-69 years,667,2015,4
3031,Widowed,Men,70-79 years,1057,2015,4
3032,Widowed,Men,80-89 years,875,2015,4
3033,Widowed,Men,90-99 years,311,2015,4
3034,Widowed,Men,100-109 years,10,2015,4
3035,Widowed,Men,110 years +,0,2015,4
3036,Widowed,Women,0-9 years,0,2015,4
3037,Widowed,Women,10-19 years,0,2015,4
3038,Widowed,Women,20-29 years,7,2015,4
3039,Widowed,Women,30-39 years,86,2015,4
3040,Widowed,Women,40-49 years,292,2015,4
3041,Widowed,Women,50-59 years,875,2015,4
3042,Widowed,Women,60-69 years,2237,2015,4
3043,Widowed,Women,70-79 years,3670,2015,4
3044,Widowed,Women,80-89 years,3801,2015,4
3045,Widowed,Women,90-99 years,1716,2015,4
3046,Widowed,Women,100-109 years,51,2015,4
3047,Widowed,Women,110 years +,0,2015,4
3048,Divorced,Men,0-9 years,0,2015,4
3049,Divorced,Men,10-19 years,1,2015,4
3050,Divorced,Men,20-29 years,219,2015,4
3051,Divorced,Men,30-39 years,2285,2015,4
3052,Divorced,Men,40-49 years,5678,2015,4
3053,Divorced,Men,50-59 years,5991,2015,4
3054,Divorced,Men,60-69 years,4740,2015,4
3055,Divorced,Men,70-79 years,2793,2015,4
3056,Divorced,Men,80-89 years,579,2015,4
3057,Divorced,Men,90-99 years,52,2015,4
3058,Divorced,Men,100-109 years,2,2015,4
3059,Divorced,Men,110 years +,0,2015,4
3060,Divorced,Women,0-9 years,0,2015,4
3061,Divorced,Women,10-19 years,0,2015,4
3062,Divorced,Women,20-29 years,500,2015,4
3063,Divorced,Women,30-39 years,3452,2015,4
3064,Divorced,Women,40-49 years,6881,2015,4
3065,Divorced,Women,50-59 years,6957,2015,4
3066,Divorced,Women,60-69 years,6526,2015,4
3067,Divorced,Women,70-79 years,4431,2015,4
3068,Divorced,Women,80-89 years,1481,2015,4
3069,Divorced,Women,90-99 years,342,2015,4
3070,Divorced,Women,100-109 years,9,2015,4
3071,Divorced,Women,110 years +,0,2015,4
3072,Never married,Men,0-9 years,34556,2016,1
3073,Never married,Men,10-19 years,23326,2016,1
3074,Never married,Men,20-29 years,64426,2016,1
3075,Never married,Men,30-39 years,37948,2016,1
3076,Never married,Men,40-49 years,17863,2016,1
3077,Never married,Men,50-59 years,10044,2016,1
3078,Never married,Men,60-69 years,4979,2016,1
3079,Never married,Men,70-79 years,1617,2016,1
3080,Never married,Men,80-89 years,311,2016,1
3081,Never married,Men,90-99 years,40,2016,1
3082,Never married,Men,100-109 years,0,2016,1
3083,Never married,Men,110 years +,0,2016,1
3084,Never married,Women,0-9 years,32708,2016,1
3085,Never married,Women,10-19 years,23182,2016,1
3086,Never married,Women,20-29 years,71688,2016,1
3087,Never married,Women,30-39 years,31501,2016,1
3088,Never married,Women,40-49 years,13377,2016,1
3089,Never married,Women,50-59 years,7501,2016,1
3090,Never married,Women,60-69 years,4011,2016,1
3091,Never married,Women,70-79 years,1513,2016,1
3092,Never married,Women,80-89 years,558,2016,1
3093,Never married,Women,90-99 years,206,2016,1
3094,Never married,Women,100-109 years,9,2016,1
3095,Never married,Women,110 years +,0,2016,1
3096,Married/separated,Men,0-9 years,0,2016,1
3097,Married/separated,Men,10-19 years,2,2016,1
3098,Married/separated,Men,20-29 years,3212,2016,1
3099,Married/separated,Men,30-39 years,17080,2016,1
3100,Married/separated,Men,40-49 years,17755,2016,1
3101,Married/separated,Men,50-59 years,13776,2016,1
3102,Married/separated,Men,60-69 years,11212,2016,1
3103,Married/separated,Men,70-79 years,6468,2016,1
3104,Married/separated,Men,80-89 years,1642,2016,1
3105,Married/separated,Men,90-99 years,177,2016,1
3106,Married/separated,Men,100-109 years,0,2016,1
3107,Married/separated,Men,110 years +,0,2016,1
3108,Married/separated,Women,0-9 years,0,2016,1
3109,Married/separated,Women,10-19 years,14,2016,1
3110,Married/separated,Women,20-29 years,5725,2016,1
3111,Married/separated,Women,30-39 years,18973,2016,1
3112,Married/separated,Women,40-49 years,16411,2016,1
3113,Married/separated,Women,50-59 years,12566,2016,1
3114,Married/separated,Women,60-69 years,9946,2016,1
3115,Married/separated,Women,70-79 years,4768,2016,1
3116,Married/separated,Women,80-89 years,1042,2016,1
3117,Married/separated,Women,90-99 years,112,2016,1
3118,Married/separated,Women,100-109 years,0,2016,1
3119,Married/separated,Women,110 years +,0,2016,1
3120,Widowed,Men,0-9 years,0,2016,1
3121,Widowed,Men,10-19 years,0,2016,1
3122,Widowed,Men,20-29 years,0,2016,1
3123,Widowed,Men,30-39 years,29,2016,1
3124,Widowed,Men,40-49 years,120,2016,1
3125,Widowed,Men,50-59 years,293,2016,1
3126,Widowed,Men,60-69 years,670,2016,1
3127,Widowed,Men,70-79 years,1060,2016,1
3128,Widowed,Men,80-89 years,876,2016,1
3129,Widowed,Men,90-99 years,310,2016,1
3130,Widowed,Men,100-109 years,8,2016,1
3131,Widowed,Men,110 years +,0,2016,1
3132,Widowed,Women,0-9 years,0,2016,1
3133,Widowed,Women,10-19 years,0,2016,1
3134,Widowed,Women,20-29 years,7,2016,1
3135,Widowed,Women,30-39 years,86,2016,1
3136,Widowed,Women,40-49 years,292,2016,1
3137,Widowed,Women,50-59 years,870,2016,1
3138,Widowed,Women,60-69 years,2242,2016,1
3139,Widowed,Women,70-79 years,3679,2016,1
3140,Widowed,Women,80-89 years,3755,2016,1
3141,Widowed,Women,90-99 years,1688,2016,1
3142,Widowed,Women,100-109 years,52,2016,1
3143,Widowed,Women,110 years +,0,2016,1
3144,Divorced,Men,0-9 years,0,2016,1
3145,Divorced,Men,10-19 years,0,2016,1
3146,Divorced,Men,20-29 years,224,2016,1
3147,Divorced,Men,30-39 years,2266,2016,1
3148,Divorced,Men,40-49 years,5702,2016,1
3149,Divorced,Men,50-59 years,6069,2016,1
3150,Divorced,Men,60-69 years,4730,2016,1
3151,Divorced,Men,70-79 years,2812,2016,1
3152,Divorced,Men,80-89 years,589,2016,1
3153,Divorced,Men,90-99 years,51,2016,1
3154,Divorced,Men,100-109 years,2,2016,1
3155,Divorced,Men,110 years +,0,2016,1
3156,Divorced,Women,0-9 years,0,2016,1
3157,Divorced,Women,10-19 years,0,2016,1
3158,Divorced,Women,20-29 years,504,2016,1
3159,Divorced,Women,30-39 years,3421,2016,1
3160,Divorced,Women,40-49 years,6908,2016,1
3161,Divorced,Women,50-59 years,7053,2016,1
3162,Divorced,Women,60-69 years,6538,2016,1
3163,Divorced,Women,70-79 years,4477,2016,1
3164,Divorced,Women,80-89 years,1501,2016,1
3165,Divorced,Women,90-99 years,345,2016,1
3166,Divorced,Women,100-109 years,7,2016,1
3167,Divorced,Women,110 years +,0,2016,1
3168,Never married,Men,0-9 years,34752,2016,2
3169,Never married,Men,10-19 years,23367,2016,2
3170,Never married,Men,20-29 years,64848,2016,2
3171,Never married,Men,30-39 years,38298,2016,2
3172,Never married,Men,40-49 years,17942,2016,2
3173,Never married,Men,50-59 years,10170,2016,2
3174,Never married,Men,60-69 years,5010,2016,2
3175,Never married,Men,70-79 years,1651,2016,2
3176,Never married,Men,80-89 years,310,2016,2
3177,Never married,Men,90-99 years,42,2016,2
3178,Never married,Men,100-109 years,0,2016,2
3179,Never married,Men,110 years +,0,2016,2
3180,Never married,Women,0-9 years,32882,2016,2
3181,Never married,Women,10-19 years,23246,2016,2
3182,Never married,Women,20-29 years,72353,2016,2
3183,Never married,Women,30-39 years,31870,2016,2
3184,Never married,Women,40-49 years,13440,2016,2
3185,Never married,Women,50-59 years,7615,2016,2
3186,Never married,Women,60-69 years,4049,2016,2
3187,Never married,Women,70-79 years,1547,2016,2
3188,Never married,Women,80-89 years,559,2016,2
3189,Never married,Women,90-99 years,204,2016,2
3190,Never married,Women,100-109 years,6,2016,2
3191,Never married,Women,110 years +,0,2016,2
3192,Married/separated,Men,0-9 years,0,2016,2
3193,Married/separated,Men,10-19 years,1,2016,2
3194,Married/separated,Men,20-29 years,3110,2016,2
3195,Married/separated,Men,30-39 years,16894,2016,2
3196,Married/separated,Men,40-49 years,17747,2016,2
3197,Married/separated,Men,50-59 years,13909,2016,2
3198,Married/separated,Men,60-69 years,11210,2016,2
3199,Married/separated,Men,70-79 years,6584,2016,2
3200,Married/separated,Men,80-89 years,1650,2016,2
3201,Married/separated,Men,90-99 years,172,2016,2
3202,Married/separated,Men,100-109 years,0,2016,2
3203,Married/separated,Men,110 years +,0,2016,2
3204,Married/separated,Women,0-9 years,0,2016,2
3205,Married/separated,Women,10-19 years,21,2016,2
3206,Married/separated,Women,20-29 years,5601,2016,2
3207,Married/separated,Women,30-39 years,18734,2016,2
3208,Married/separated,Women,40-49 years,16470,2016,2
3209,Married/separated,Women,50-59 years,12620,2016,2
3210,Married/separated,Women,60-69 years,9938,2016,2
3211,Married/separated,Women,70-79 years,4887,2016,2
3212,Married/separated,Women,80-89 years,1029,2016,2
3213,Married/separated,Women,90-99 years,111,2016,2
3214,Married/separated,Women,100-109 years,0,2016,2
3215,Married/separated,Women,110 years +,0,2016,2
3216,Widowed,Men,0-9 years,0,2016,2
3217,Widowed,Men,10-19 years,0,2016,2
3218,Widowed,Men,20-29 years,1,2016,2
3219,Widowed,Men,30-39 years,25,2016,2
3220,Widowed,Men,40-49 years,114,2016,2
3221,Widowed,Men,50-59 years,295,2016,2
3222,Widowed,Men,60-69 years,678,2016,2
3223,Widowed,Men,70-79 years,1080,2016,2
3224,Widowed,Men,80-89 years,852,2016,2
3225,Widowed,Men,90-99 years,308,2016,2
3226,Widowed,Men,100-109 years,7,2016,2
3227,Widowed,Men,110 years +,0,2016,2
3228,Widowed,Women,0-9 years,0,2016,2
3229,Widowed,Women,10-19 years,0,2016,2
